species_scientific_name,class,order,family,genus,species
Smutsia gigantea,Mammalia,Pholidota,Manidae,Smutsia,gigantea
Phataginus tricuspis,Mammalia,Pholidota,Manidae,Phataginus,tricuspis
Herpestes sanguinea,Mammalia,Carnivora,Herpestidae,Herpestes,sanguinea
Uromanis tetradactyla,Mammalia,Pholidota ,Manidae,Uromanis,tetradactyla
Cercopithecus tantalus,Mammalia,Primates,Cercopithecidae ,Cercopithecus,tantalus
Dyaphorophyia castanea,Aves,Passeriformes,Platysteiridae,Dyaphorophyia,castanea
Tricuspis sp.,Mammalia,Pholidota,Manidae,Manis,NA
Spermestes bicolor,Aves,Passeriformes,Estrildidae,Spermestes,bicolor
Tringa minuta,Aves,Charadriiformes,Scolopacidae,Tringa,minuta
Miniopterus fuliginosus,Mammalia,Chiroptera,Miniopteridae,Miniopterus,fuliginosus
Tadarida plicata,Mammalia,Chiroptera,Molossidae,Tadarida,plicata
Procolobus tholloni,Mammalia,Primates,Cercopithecidae,Procolobus,tholloni
Microreus gr. demerara,Mammalia,Didelphimorphia,Didelphidae,Micoureus,demerarae
Lancophila tomasi,Mammalia,Chiroptera,,,
Sturnirinae,Mammalia,Chiroptera,Phyllostomidae,,
Marmosa demerarae,Mammalia,Didelphimorphia,Didelphidae,Marmosa,demerarae
Dasypterus ega,Mammalia,Chiroptera,Vespertilionidae ,Dasypterus,ega
Mus nannomys sp.,Mammalia,Rodentia,Muridae,Mus,Mus
Anas domesticus,Aves,Anseriformes,Anatidae,Anas,domesticus
Cercopithecus patas,Mammalia,Primates,Cercopithecidae,Cercopithecus,patas
Tragelaphus sylvaticus,Mammalia,Artiodactyla,Bovidae,Tragelaphus,sylvaticus
Ursus malayensis,Mammalia,Carnivora,Ursidae,Ursus,malayensis
Felis aurata,Mammalia,Carnivora,Felidae,Felis,aurata
Hylomyscus vulcanorum,Mammalia,Rodentia,Muridae,Hylomyscus,vulcanorum
Dracaena guianensis,Reptilia,Squamata,Teiidae,Dracaena,guianensis
Cercopithecus aethiops,Mammalia,Primates,Cercopithecidae ,Chlorocebus,pygerythrus
Cinereus,Mammalia,Chiroptera,Phyllostomidae,Artibeus,
Petaurista yunanensis,Mammalia,Rodentia,Sciuridae,Petaurista,yunanensis
Mus nannomys setulosus,Mammalia,Rodentia,Muridae,Mus,setulosus
Stenonycteris lanosus,Mammalia,Chiroptera,Pteropodidae,Stenonycteris,lanosus
Semnopithecus cristatus,Mammalia,Primates,Cercopithecidae,Semnopithecus,cristatus
Procolobus gordonorum,Mammalia,Primates,Cercopithecidae,Procolobus,gordonorum
Collocalia maxima,Aves,Apodiformes ,Apodidae,Collocalia,maxima
Rhinopholus sinicus,Mammalia,Chiroptera,Rhinolophidae,Rhinopholus,sinicus
Cercocebus albigena,Mammalia,Primates,Cercopithecidae ,Cercocebus,albigena
Thecurus crassispinis,Mammalia,Rodentia,Hystricidae,Thecurus,crassispinis
Coelognathus radiatus,Reptilia,Squamata,Colubridae,Coelognathus,radiatus
Rattus flavipectus,Mammalia,Rodentia,Muridae,Rattus,flavipectus
Rattus rattoides losea,Mammalia,Rodentia,Muridae,Rattus,losea
Platyrrhinus fusciventris,Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus,fusciventris
